Hoarding Code,City,(Area/Zone),Location / Landmark,Facing Direction,Size (Width x Height),Position,Hoarding Type,Illumination,Latitude,Longitude,Ownership,Sq. Ft.,Landlord
MENG-CE-R,Mehsana,Nagalpur,Nagalpur Collage,Collage Entry,20 x 10,RHS,Hoarding,NL,23.5858999,72.3742457,GOV - MMC,200,MMC
MENG-AH-S,Mehsana,Nagalpur,"Nr. Gaytri Temple, Highway",Palanpur to Ahmedabad ,15 x 31,Solo,Hoarding,NL,23.5889987,72.3777728,Private,450,Gayatri Mandir Trust
MENG-NC-S,Mehsana,Nagalpur,Opp. Gaytri Temple,Dharam Cinema Road to Nagalpur College,20 x 10,Solo,Hoarding,NL,23.5891907,72.3779736,Private,200,Gayatri Mandir Trust
MEMC-DG-S,Mehsana,Modhera Circle,Modhera Circle,Modhera Circle to Dediyasan GIDC,20 x 10,Solo,Hoarding,NL,23.5941568,72.3781956,GOV - MMC,200,MMC
MEMC-PA-SC,Mehsana,Modhera Circle,Modhera Circle,Ahmedabad to Palanpur,20 x 20,Solo,Hoarding,NL,23.5937368,72.3784142,Private,400,Shyam Super Mall
MEMC-CP-S,Mehsana,Modhera Circle,Modhera Circle,City to Ahmedabad & Palanpur & Modhera,61 x 20,Solo,Hoarding,NL,23.5937368,72.3784142,Private,1200,Shyam Super Mall
MEMC-BS-S,Mehsana,Modhera Circle,Opp. Bus Terminal,Opp Bus Stand,59 x 41,Solo,Hoarding,NL,23.5936594,72.3782827,Private,2400,Shakti Tubewell
MEMC-AH-S,Mehsana,Modhera Circle,"Opp. Rajkamal Petrol Pump,",Palanpur to Ahmedabad ,35 x 23,Solo,Hoarding,NL,23.595871,72.3795947,Private,805,Vinaybhai Patel
MEMC-PA-SR,Mehsana,Modhera Circle,"Opp. Rajkamal Petrol Pump,",Ahmedabad to Palanpur,50 x 30,Solo,Hoarding,NL,23.5961773,72.3796859,Private,1500,Vinaybhai Patel
MEMR-MC-S,Mehsana,Modhera Road,"At Poojan Complex, Nr. Lucky Park",Dediyasan GIDC to Modhera circle,30 x 19,Solo,Hoarding,NL,23.5943569,72.3761638,Private,600,Poojan Complax
MEMR-MC-L,Mehsana,Modhera Road,Nr. Avsar Party plot,Dediyasan GIDC to Modhera circle,20 x 30,LHS,Hoarding,NL,23.5942558,72.3618019,Private,600,Vikram Patel
MEMR-MC-R,Mehsana,Modhera Road,Nr. Avsar Party plot,Dediyasan GIDC to Modhera circle,20 x 30,RHS,Hoarding,NL,23.5942558,72.3618019,Private,600,Vikram Patel
MEMR-DG-U1,Mehsana,Modhera Road,Nr. Avsar Party plot First,Modhera Circle to Dediyasan GIDC,20 x 10,Upper,Hoarding,NL,23.5942294,72.3611022,Private,200,Bharatbhai Patel
MEMR-DG-M1,Mehsana,Modhera Road,Nr. Avsar Party plot First,Modhera Circle to Dediyasan GIDC,20 x 10,Middle,Hoarding,NL,23.5942294,72.3611022,Private,200,Bharatbhai Patel
MEMR-DG-D1,Mehsana,Modhera Road,Nr. Avsar Party plot First,Modhera Circle to Dediyasan GIDC,20 x 10,Lower,Hoarding,NL,23.5942294,72.3611022,Private,200,Bharatbhai Patel
MEMR-DG-U2,Mehsana,Modhera Road,Nr. Avsar Party plot Second,Modhera Circle to Dediyasan GIDC,20 x 10,Upper,Hoarding,NL,23.594171,72.3606697,Private,200,Bharatbhai Patel
MEMR-DG-M2,Mehsana,Modhera Road,Nr. Avsar Party plot Second,Modhera Circle to Dediyasan GIDC,20 x 10,Middle,Hoarding,NL,23.594171,72.3606697,Private,200,Bharatbhai Patel
MEMR-DG-D2,Mehsana,Modhera Road,Nr. Avsar Party plot Second,Modhera Circle to Dediyasan GIDC,20 x 10,Lower,Hoarding,NL,23.594171,72.3606697,Private,200,Bharatbhai Patel
MEMR-MC-UA,Mehsana,Modhera Road,Opp Avsar Party Plot,Dediyasan GIDC to Modhera circle,20 x 10,Upper,Hoarding,NL,23.5938302,72.3595773,Private,200,Vikram Patel
MEMR-MC-MA,Mehsana,Modhera Road,Opp Avsar Party Plot,Dediyasan GIDC to Modhera circle,20 x 10,Middle,Hoarding,NL,23.5938302,72.3595773,Private,200,Vikram Patel
MEMR-MC-DA,Mehsana,Modhera Road,Opp Avsar Party Plot,Dediyasan GIDC to Modhera circle,20 x 10,Lower,Hoarding,NL,23.5938302,72.3595773,Private,200,Vikram Patel
MEMR-DG-U,Mehsana,Modhera Road,Opp Avsar Party Plot,Modhera Circle to Dediyasan GIDC,20 x 10,Upper,Hoarding,NL,23.5938302,72.3595773,Private,200,Vikram Patel
MEMR-DG-M,Mehsana,Modhera Road,Opp Avsar Party Plot,Modhera Circle to Dediyasan GIDC,20 x 10,Middle,Hoarding,NL,23.5938302,72.3595773,Private,200,Vikram Patel
MEMR-DG-D,Mehsana,Modhera Road,Opp Avsar Party Plot,Modhera Circle to Dediyasan GIDC,20 x 10,Lower,Hoarding,NL,23.5938302,72.3595773,Private,200,Vikram Patel
MEMR-IC-S,Mehsana,Modhera Road,Dediyasan GIDC Gate No. 1,Modhera Circle to Iskon Circle,20 x 10,Solo,Hoarding,NL,23.5938551,72.356462,MMC,200,MMC
MEMR-MC-U,Mehsana,Modhera Road,Nr. Dediyasan GIDC,Iskon Circle to Modhera Circle,20 x 10,Upper,Hoarding,NL,23.5923948,72.3494054,Private,200,Mahakali Dairy
MEMR-MC-M,Mehsana,Modhera Road,Nr. Dediyasan GIDC,Iskon Circle to Modhera Circle,20 x 10,Middle,Hoarding,NL,23.5923948,72.3494054,Private,200,Mahakali Dairy
MEMR-MC-D,Mehsana,Modhera Road,Nr. Dediyasan GIDC,Iskon Circle to Modhera Circle,20 x 10,Lower,Hoarding,NL,23.5923948,72.3494054,Private,200,Mahakali Dairy
MEMR-IC-U,Mehsana,Modhera Road,Nr. Dediyasan GIDC,Modhera Circle to Iskon Circle,20 x 10,Upper,Hoarding,NL,23.5923948,72.3494054,Private,200,Mahakali Dairy
MEMR-IC-M,Mehsana,Modhera Road,Nr. Dediyasan GIDC,Modhera Circle to Iskon Circle,20 x 10,Middle,Hoarding,NL,23.5923948,72.3494054,Private,200,Mahakali Dairy
MEMR-IC-D,Mehsana,Modhera Road,Nr. Dediyasan GIDC,Modhera Circle to Iskon Circle,20 x 10,Lower,Hoarding,NL,23.5923948,72.3494054,Private,200,Mahakali Dairy
MEMR-MC-DC,Mehsana,Modhera Road,At Cambridge Health Care,Dediyasan GIDC to Modhera circle,20 x 10,Lower,Hoarding,NL,23.5940505,72.3714599,Private,200,Cambridgee
MEMR-MC-UC,Mehsana,Modhera Road,At Cambridge Health Care,Dediyasan GIDC to Modhera circle,20 x 20,Upper,Hoarding,NL,23.5940505,72.3714599,Private,400,Cambridgee
MEMR-ME-LU1,Mehsana,Modhera Road,"Iskon Circle, First Board",Modhera to Mehsana ,20 x 10,LHS Upper,Hoarding,NL,23.5963063,72.32977,Private,200,Dahyalal Patel 
MEMR-ME-LD1,Mehsana,Modhera Road,"Iskon Circle, First Board",Modhera to Mehsana ,20 x 10,LHS Lower,Hoarding,NL,23.5963063,72.32977,Private,200,Dahyalal Patel 
MEMR-ME-RU,Mehsana,Modhera Road,Iskon Circle,Modhera to Mehsana ,20 x 10,RHS Upper,Hoarding,NL,23.5959545,72.32977,Private,200,Dahyalal Patel 
MEMR-ME-RD,Mehsana,Modhera Road,Iskon Circle,Modhera to Mehsana ,20 x 10,RHS Lower,Hoarding,NL,23.5959545,72.32977,Private,200,Dahyalal Patel 
MEMR-ME-LU,Mehsana,Modhera Road,Iskon Circle,Modhera to Mehsana ,20 x 10,LHS Upper,Hoarding,NL,23.5959545,72.32977,Private,200,Dahyalal Patel 
MEMR-ME-LD,Mehsana,Modhera Road,Iskon Circle,Modhera to Mehsana ,20 x 10,LHS Lower,Hoarding,NL,23.5959545,72.32977,Private,200,Dahyalal Patel 
MESG-MC-U,Mehsana,Shilpa Garage,Nr. Mehsana Urban Bank HO,Radhanpur Circle to Modhera Circle,30 x 15,Upper,Hoarding,NL,23.5989935,72.3803517,Private,450,Dhirajbhai Modi
MESG-MC-D,Mehsana,Shilpa Garage,Nr. Mehsana Urban Bank HO,Radhanpur Circle to Modhera Circle,30 x 15,Lower,Hoarding,NL,23.5989935,72.3803517,Private,450,Dhirajbhai Modi
MESG-RC-U,Mehsana,Shilpa Garage,Nr. Mehsana Urban Bank HO,Modhera Circle to Radhanpur Circle,30 x 15,Upper,Hoarding,NL,23.5989935,72.3803517,Private,450,Dhirajbhai Modi
MESG-RC-D,Mehsana,Shilpa Garage,Nr. Mehsana Urban Bank HO,Modhera Circle to Radhanpur Circle,30 x 15,Lower,Hoarding,NL,23.5989935,72.3803517,Private,450,Dhirajbhai Modi
MEMC-MC-S,Mehsana,Modhera Circle,Opp. Rajkamal Petrol Pump,Radhanpur Circle to Modhera Circle & Malgodown Road,20 x 20,Solo,Hoarding,NL,23.596565,72.3797489,Private,400,PRIVATE
MERC-RR-S,Mehsana,Radhanpur Circle,Opp. Police Chowki,Radhanpur Circle to Radhanpur road,20 x 10,Solo,Unipoll,NL,23.6058142,72.3811296,GOV - R & B Mehsana,200,R & B Mehsana
MERC-ME-U,Mehsana,Radhanpur Circle,"Opp. Dudh Sagar Dairy,",Palanpur to Mehsana,30 x 15,Upper,Hoarding,NL,23.6090606,72.3824254,Private,450,Mukesh Chaudhary
